depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
1,0.490000010,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,2,0.037694015,0.808664441,0.000000000,0.000000000,0.500000000,0.500000000,0.000000000,0.000000000,2,0.050000001,21.953863144,0.062835917,1.003141761,14.250000000
2,0.479999989,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.008140629,0.697127283,0.151874512,0.015187451,0.517441869,0.482558161,0.000000000,0.000000000,6,0.050000001,55.350425720,0.075945504,1.003797293,31.583999634
3,0.479456067,-0.000543921,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.006629403,0.741087973,0.665623248,0.066562325,0.551949918,0.448050082,0.000000000,0.000000000,23,0.050000001,128.681335449,0.068074077,1.003403664,76.750000000
4,0.489456087,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,14,0.003894991,0.821531653,0.717867613,0.071786761,0.554962516,0.445037484,0.000000000,0.000000000,24,0.050000001,186.260406494,0.061672214,1.003083587,120.625000000
5,0.495059937,0.005603856,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.008187645,0.746774435,0.823040783,0.082304075,0.550828159,0.449171841,0.000000000,0.000000000,25,0.050000001,246.636932373,0.060726896,1.003036380,164.166000366
6,0.496227175,0.001167242,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.010936777,0.790966988,0.664060354,0.066406034,0.537815034,0.462184966,0.000000000,0.000000000,23,0.050000001,301.846313477,0.062048908,1.003102422,202.792007446
7,0.499916971,0.003689791,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.003955557,0.756165147,0.578776538,0.057877652,0.532493293,0.467506707,0.000000000,0.000000000,25,0.050000001,358.091247559,0.061989576,1.003099442,237.292007446
8,0.509916961,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.006374631,0.618911147,0.820552111,0.082055211,0.541103840,0.458896160,0.000000000,0.000000000,27,0.050000001,409.841003418,0.059913941,1.002995729,297.000000000
9,0.515929878,0.006012886,0.140000001,1.000000000,1.000000000,2,1.087712526,3,0.042786181,0.929775894,0.727070689,0.072707072,0.527157605,0.472842395,4.232677460,0.000000000,29,0.050000001,456.127197266,0.057011895,1.002850652,339.916992188
10,0.523177326,0.007247502,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.082772180,0.911532223,0.117736161,0.011773616,0.490144521,0.509855509,4.232677460,0.000000000,12,0.050000001,477.476226807,0.055803366,1.002790213,371.125000000
11,0.533177376,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.028429277,0.885275424,0.015945017,0.001594502,0.477656841,0.522343159,13.387390137,0.000000000,21,0.050000001,531.788940430,0.051894348,1.002594709,999.916992188
12,0.536679208,0.003501849,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.015686769,0.855273247,0.241360441,0.024136044,0.479691446,0.520308554,13.387390137,0.000000000,19,0.050000001,585.144226074,0.049569938,1.002478480,439.334014893
13,0.533489704,-0.003189477,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.015456197,0.871198177,0.456421554,0.045642156,0.487815976,0.512184024,13.387390137,0.000000000,19,0.050000001,640.266906738,0.047171175,1.002358556,485.375000000
14,0.526044607,-0.007445117,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.012107830,0.864996731,0.461713880,0.046171390,0.491142243,0.508857787,13.387390137,0.000000000,17,0.050000001,695.983581543,0.045357924,1.002267838,517.125000000
15,0.516044617,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.012575337,0.892995536,0.545860648,0.054586068,0.502670109,0.497329891,13.387390137,0.000000000,19,0.050000001,751.302551270,0.043390591,1.002169490,560.208007812
16,0.509414613,-0.006630027,0.140000001,1.000000000,1.000000000,2,1.087712526,12,0.013739569,0.878157556,0.533248961,0.053324897,0.511473417,0.488526583,13.387390137,0.000000000,16,0.050000001,805.523437500,0.042426784,1.002121329,604.250000000
17,0.509564281,0.000149711,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.019929228,0.874729097,0.503093898,0.050309390,0.516213775,0.483786255,13.387390137,0.000000000,19,0.050000001,857.736999512,0.040199943,1.002009988,635.250000000
18,0.502626061,-0.006938238,0.140000001,1.000000000,1.000000000,2,1.087712526,7,0.016820585,0.835759103,0.369183511,0.036918350,0.509247959,0.490752012,13.387390137,0.000000000,18,0.050000001,908.275329590,0.038753606,1.001937628,737.500000000
19,0.492626071,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.014782080,0.858364999,0.431266397,0.043126643,0.519050539,0.480949491,13.387390137,0.000000000,18,0.050000001,957.039978027,0.038074452,1.001903772,759.666992188
20,0.482626051,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.012743393,0.863446057,0.477541596,0.047754157,0.530898869,0.469101101,13.387390137,0.000000000,18,0.050000001,1004.416503906,0.039428953,1.001971483,818.833984375
